Gene Start (bp)	Gene End (bp)	Chromosome Name	Associated Gene Name
4229495	4237528	19	EBI3
43629846	43736607	1	EBNA1BP2
48379546	48387104	X	EBP
48380557	48388115	HG1436_HG1432_PATCH	EBP
50234859	50265611	13	EBPL
74889913	74928813	10	ECD
183967438	184010819	3	ECE2
127609855	127664754	6	ECHDC1
53361656	53392884	1	ECHDC2
135175984	135187193	10	ECHS1
2289396	2302301	16	ECI1
4115923	4135831	6	ECI2
150480538	150486265	1	ECM1
138784245	138842328	5	ECSCR
109510927	109605828	2	EDAR
236511562	236648214	1	EDARADD
74922899	74988633	15	EDC3
67906926	67918406	16	EDC4
139756571	139760738	9	EDF1
83236373	83680611	5	EDIL3
12290596	12297427	6	EDN1
41944446	41950344	1	EDN2
57875482	57901047	20	EDN3
148402069	148466106	4	EDNRA
127408084	127452712	10	EDRF1
85955586	85989855	11	EED
207024309	207027652	2	EEF1B2
144661867	144681711	8	EEF1D
8073593	8102811	6	EEF1E1
127872297	128127485	3	EEFSEC
36192758	36341152	7	EEPD1
49623348	49647870	8	EFCAB1
47124366	47184824	1	EFCAB14
60447579	60493837	17	EFCAB3
128720472	128759585	3	EFCC1
56093102	56151274	2	EFEMP1
65633912	65641063	11	EFEMP2
155099936	155107333	1	EFNA1
106712590	107006596	5	EFNA5
7608520	7614696	17	EFNB3
42927311	42977030	17	EFTUD2
139553308	139567130	9	EGFL7
55086714	55324313	7	EGFR
231499497	231560790	1	EGLN1
41304901	41314338	19	EGLN2
137801179	137805004	5	EGR1
64571756	64679660	10	EGR2
108535	112904	LRG_239	LRG_239
22545172	22550815	8	EGR3
62900986	63273622	2	EHBP1
65343509	65360121	11	EHBP1L1
48216600	48246391	19	EHD2
42190950	42264776	15	EHD4
34642640	34682604	11	EHF
140513444	140764468	9	EHMT1
31839421	31849264	HSCHR6_MHC_SSTO	EHMT2
31835086	31853014	HSCHR6_MHC_COX	EHMT2
31858893	31876828	HSCHR6_MHC_APD	EHMT2
31847536	31865464	6	EHMT2
31837931	31855870	HSCHR6_MHC_QBL	EHMT2
31829721	31847649	HSCHR6_MHC_DBB	EHMT2
31924012	31941947	HSCHR6_MHC_MCF	EHMT2
125439112	125454575	11	EI24
49170083	49172380	15	EID1
40028890	40030870	19	EID2
65764016	65769647	11	EIF1AD
20142636	20159962	X	EIF1AX
150264465	150302029	3	EIF2A
6061881	6098861	7	EIF2AK1
37326353	37384208	2	EIF2AK2
124104953	124118313	12	EIF2B1
75469614	75476292	14	EIF2B2
183852826	184402546	3	EIF2B5
67826714	67853233	14	EIF2S1
32676104	32700138	20	EIF2S2
24072833	24096088	X	EIF2S3
120794356	120840316	10	EIF3A
2393721	2420380	7	EIF3B
28699879	28747051	16	EIF3C
28390900	28415200	16	EIF3CL
36906897	36925483	22	EIF3D
7991798	8023409	11	EIF3F
32687529	32697205	1	EIF3I
44829255	44855227	15	EIF3J
39109735	39127595	19	EIF3K
38244875	38285414	22	EIF3L
32605344	32627808	11	EIF3M
7476024	7482323	17	EIF4A1
78109013	78120982	17	EIF4A3
99792835	99851788	4	EIF4E
233414762	233448354	2	EIF4E2
71724567	71803924	3	EIF4E3
37887859	37917883	8	EIF4EBP1
72164135	72188374	10	EIF4EBP2
31832963	31892094	22	EIF4ENIF1
184032283	184053146	3	EIF4G1
10818597	10830657	11	EIF4G2
21132963	21503377	1	EIF4G3
73588575	73611431	7	EIF4H
73639202	73662058	HG1257_PATCH	EIF4H
103799881	103811362	14	EIF5
7210318	7215774	17	EIF5A
81272357	81276188	10	EIF5AL1
99953816	100017789	2	EIF5B
33866714	33872788	20	EIF6
12895708	12921504	17	ELAC2
41506056	41635576	13	ELF1
139949266	140098372	4	ELF2
201977073	201986316	1	ELF3
129198849	129244691	X	ELF4
5214	50794	LRG_335	LRG_335
34500340	34535352	11	ELF5
47494920	47510003	X	ELK1
205577071	205601090	1	ELK4
18553473	18632937	19	ELL
95220802	95297775	5	ELL2
44064798	44069741	15	ELL3
36893961	37488852	7	ELMO1
44994688	45061704	20	ELMO2
67233014	67237932	16	ELMO3
85581517	85618875	2	ELMOD3
73442119	73484237	7	ELN
73492746	73534864	HG1257_PATCH	ELN
11661962	11670051	19	ELOF1
53132196	53213947	6	ELOVL5
33709407	33757909	18	ELP2
27947190	28048673	8	ELP3
31531297	31805546	11	ELP4
7154735	7163259	17	ELP5
47537130	47555251	3	ELP6
49692026	49739082	5	EMB
121261143	121310591	1	EMBP1
122061968	122111416	HG1292_PATCH	EMBP1
109455830	109499145	8	EMC2
10004221	10052800	3	EMC3
34517200	34522357	15	EMC4
3572109	3572962	17	EMC6
34376218	34394149	15	EMC7
85805364	85833214	16	EMC8
101316498	101801283	4	EMCN
153607557	153609883	X	EMD
153547665	153549991	HG1497_PATCH	EMD
48450581	48458844	17	EME1
7072408	7105520	12	EMG1
2847028	2915991	18	EMILIN2
100204030	100408397	14	EML1
62369690	62380237	11	EML3
13349650	13369708	12	EMP1
48824766	48833810	19	EMP3
119301955	119309056	10	EMX2
119232726	119304579	10	EMX2OS
225674537	225840844	1	ENAH
94822974	94865809	11	ENDOD1
94822976	94865811	HG348_PATCH	ENDOD1
131580753	131584956	9	ENDOG
78388965	78411886	17	ENDOV
8921061	8939308	1	ENO1
4851387	4860426	17	ENO3
83351715	83382244	4	ENOPH1
670324	712676	18	ENOSF1
46097730	46114436	6	ENPP4
46126924	46138708	6	ENPP5
150573327	150602088	1	ENSA
79202077	79212891	17	ENTHD2
23243296	23315208	8	ENTPD4
25176329	25207365	20	ENTPD6
110346553	110358182	8	ENY2
69024365	69063112	3	EOGT
27757440	27764206	3	EOMES
41487790	41576081	22	EP300
132434508	132565005	12	EP400
34679426	34820721	20	EPB41L1
111478138	111755013	5	EPB41L4A
111755280	111756310	5	EPB41L4A-AS2
111934255	112083244	9	EPB41L4B
32556679	32667726	10	EPC1
149402009	149545130	2	EPC2
47572297	47614740	2	EPCAM
28986	46866	LRG_215	LRG_215
43427574	43547240	18	EPG5
143087382	143105985	7	EPHA1
222282747	222438922	2	EPHA4
134316643	134979309	3	EPHB1
27348296	27403081	8	EPHX2
15337730	15344246	19	EPHX3
92495539	92529093	1	EPHX4
145822719	146057160	6	EPM2A
37027357	37034795	3	EPM2AIP1
56186592	56221224	19	EPN1
19118928	19240028	17	EPN2
48609904	48621111	17	EPN3
144940157	144955423	HG104_HG975_PATCH	EPPK1
144939497	144952632	8	EPPK1
694438	727727	11	EPS8L2
43460524	43566407	13	EPSTI1
27181956	27188085	17	ERAL1
37844167	37886679	17	ERBB2
65222303	65378377	5	ERBB2IP
56473641	56497289	12	ERBB3
103497194	103528345	13	ERCC5
5018	35178	LRG_464	LRG_464
50663414	50747584	10	ERCC6
5001	87657	LRG_465	LRG_465
60169658	60240900	5	ERCC8
5001	76247	LRG_466	LRG_466
42751724	42759309	19	ERF
39751949	40033704	21	ERG
34129770	34145405	20	ERGIC3
69846848	69865344	14	ERH
8859657	8974256	8	ERI1
44686742	44820932	1	ERI3
564746	688106	8	ERICH1
101909851	101948091	10	ERLIN1
37594117	37616619	8	ERLIN2
170151718	170181680	6	ERMARD
5765076	5833117	9	ERMP1
53106634	53162618	14	ERO1L
236378855	236445319	1	ERO1LB
112451120	112461255	12	ERP29
102741461	102861322	9	ERP44
8064464	8086368	1	ERRFI1
11102722	11111965	6	ERVFRD-1
124622026	124632186	11	ESAM
19109242	19180845	18	ESCO1
27629466	27670157	8	ESCO2
47345391	47371367	13	ESD
13694969	13765532	20	ESF1
53662083	53687427	12	ESPL1
6484848	6521430	1	ESPN
54666149	54673884	3	ESRG
95653302	95719694	8	ESRP1
64073044	64084215	11	ESRRA
103494719	103499614	X	ESX1
103504967	103509862	HG1441_PATCH	ESX1
158523686	158622944	7	ESYT2
67624451	67637677	2	ETAA1
137841784	137878989	5	ETF1
76507696	76603813	15	ETFA
51848423	51869672	19	ETFB
159593277	159630775	4	ETFDH
44010871	44031396	19	ETHE1
22778009	22843599	12	ETNK1
128328656	128457453	11	ETS1
40177231	40196879	21	ETS2
11802788	12048336	12	ETV6
36787632	36789755	1	EVA1B
33784314	33887707	21	EVA1C
5712924	5830772	4	EVC
5544499	5711275	4	EVC2
7895119	7929862	19	EVI5L
69658228	69709075	14	EXD2
140201348	140317714	9	EXD3
56719782	56771200	4	EXOC1
485133	693117	6	EXOC2
443273	472052	5	EXOC3
57670518	57735726	14	EXOC5
94590935	94819250	10	EXOC6
74077087	74117657	17	EXOC7
231468480	231473598	1	EXOC8
99195899	99205774	10	EXOSC1
11126675	11159938	1	EXOSC10
37766975	37801434	9	EXOSC3
145160798	145162819	HG104_HG975_PATCH	EXOSC4
145133529	145135550	8	EXOSC4
45016733	45077558	3	EXOSC7
37572953	37583750	13	EXOSC8
122722472	122738176	4	EXOSC9
101337943	101361554	1	EXTL2
28457986	28613116	8	EXTL3
64429876	66417118	6	EYS
40852293	40897071	17	EZH1
159186773	159240444	6	EZR
113777128	113803843	13	F10
176829141	176836577	5	F12
5001	12439	LRG_145	LRG_145
76011868	76031606	5	F2R
75911307	75919259	5	F2RL2
16999671	17003417	19	F2RL3
94994781	95007356	1	F3
70049269	70053496	11	FADD
5001	9240	LRG_228	LRG_228
61640991	61659523	11	FADS3
50905150	51425935	1	FAF1
175874629	175937075	5	FAF2
80444832	80479288	15	FAH
96068469	96082364	2	FAHD2A
97749320	97760619	2	FAHD2B
207077731	207096592	1	FAIM3
130702858	130742792	9	FAM102A
109102711	109187522	1	FAM102B
83654959	83659809	15	FAM103A1
71203492	71232892	17	FAM104A
55169535	55187743	X	FAM104B
14560556	14816896	10	FAM107B
814358	838106	20	FAM110A
26485511	26489119	1	FAM110D
153369688	153418496	5	FAM114A2
47787694	47866542	17	FAM117A
203499901	203634480	2	FAM117B
126081309	126132881	11	FAM118B
170599791	170716153	6	FAM120B
133903596	133931262	X	FAM122B
133930819	133988640	X	FAM122C
225243415	225266802	2	FAM124B
22980878	23053749	7	FAM126A
201838441	201936394	2	FAM126B
134166333	134167576	X	FAM127A
134184962	134186226	X	FAM127B
134154543	134156559	X	FAM127C
184759858	184943682	1	FAM129A
184053714	184064063	3	FAM131A
92190107	92219708	7	FAM133B
220040947	220050201	2	FAM134A
40731531	40762641	17	FAM134C
137273649	137387650	5	FAM13B
61005890	61122939	10	FAM13C
74927924	75004262	10	FAM149B1
279558	288851	2	FAM150B
152330368	152584784	4	FAM160A1
6232565	6255941	11	FAM160A2
21946670	21962409	8	FAM160B2
74398204	74417117	14	FAM161B
73111532	73309234	11	FAM168A
10226442	10250009	5	FAM173B
99871009	99922445	5	FAM174A
84382092	84444501	4	FAM175A
126490354	126525239	10	FAM175B
35514113	35582336	14	FAM177A1
102672326	102724893	10	FAM178A
97541620	97684175	2	FAM178B
45431411	45543634	14	FAM179B
47608198	47610746	11	FAM180B
82443053	82444906	11	FAM181B
26035291	26073683	20	FAM182A
25744102	25848861	20	FAM182B
102389418	102449672	7	FAM185A
15820169	15902519	10	FAM188A
57186378	57220028	16	FAM192A
2626988	2734292	4	FAM193A
691813	698474	16	FAM195A
79780287	79791178	17	FAM195B
159045626	159094470	4	FAM198B
103411301	103440583	X	FAM199X
103421549	103450831	HG1441_PATCH	FAM199X
99143931	99156159	7	FAM200A
120065401	120101840	10	FAM204A
46359925	46396904	21	FAM207A
56654161	56717265	3	FAM208A
66531254	66597530	17	FAM20A
13663346	13726662	18	FAM210A
49840687	49842463	3	FAM212A
82167585	82192753	10	FAM213A
2517930	2522908	1	FAM213B
52873514	53002014	15	FAM214A
35104109	35116338	9	FAM214B
58508819	58523735	20	FAM217B
75192328	75199462	15	FAM219B
51827648	51893269	10	FAM21A
51275934	51341555	HG1074_PATCH	FAM21A
46222648	46288409	10	FAM21C
46222648	46288409	HG1211_PATCH	FAM21C
6369040	6388612	7	FAM220A
27082996	27182250	17	FAM222B
115875353	115882208	9	FAM225A
115865618	115873780	9	FAM225B
124608594	124639157	10	FAM24B
16296191	16302857	19	FAM32A
88853918	88951225	10	FAM35A
46897592	46939143	10	FAM35BP
47105922	47147473	HG1211_PATCH	FAM35BP
20878932	20881512	1	FAM43B
120863598	120897496	10	FAM45A
82201156	82462491	6	FAM46A
27331511	27339327	1	FAM46B
77172886	77232752	4	FAM47E-STBD1
153672473	153679002	X	FAM50A
153612594	153619122	HG1497_PATCH	FAM50A
3849620	3851551	6	FAM50B
126307861	126432838	10	FAM53B
137667624	137685416	5	FAM53C
150969025	150980851	1	FAM63A
59063391	59154099	15	FAM63B
6347735	6354789	17	FAM64A
49202645	49308065	20	FAM65C
93307724	93427057	1	FAM69A
67656110	67695267	14	FAM71D
206136916	206155151	1	FAM72A
206249817	206265981	HG1293_PATCH	FAM72A
120837756	120855681	1	FAM72B
121710269	121728190	HG1292_PATCH	FAM72B
143896452	143913143	1	FAM72D
145782415	145799107	HG1287_PATCH	FAM72D
78245309	78344106	1	FAM73A
95502106	95523573	11	FAM76B
134133463	134151934	9	FAM78A
54711569	54806820	6	FAM83B
49104067	49118111	19	FAM83E
40390953	40439533	22	FAM83F
18872102	18908117	17	FAM83G
144806103	144815971	8	FAM83H
144806103	144815971	HG104_HG975_PATCH	FAM83H
12039605	12051642	8	FAM86B1
12282913	12293915	8	FAM86B2
71498556	71512282	11	FAM86C1
67559119	67572807	11	FAM86C2P
65339820	65341669	11	FAM89B
124780696	124827692	8	FAM91A1
94710789	94743755	8	FAM92A1
33808725	33824449	2	FAM98A
38746328	38779911	15	FAM98B
31196055	31235311	15	FAN1
10068098	10143614	3	FANCD2
35420138	35434880	6	FANCE
5001	19744	LRG_498	LRG_498
22644079	22647387	11	FANCF
5001	8309	LRG_527	LRG_527
35073832	35080013	9	FANCG
5001	11179	LRG_499	LRG_499
89787180	89860492	15	FANCI
5001	78169	LRG_500	LRG_500
58386378	58468507	2	FANCL
127585108	127698161	10	FANK1
163027194	163101661	2	FAP
5261277	5771813	6	FARS2
13033293	13044851	19	FARSA
223435255	223521056	2	FARSB
90750414	90775542	10	FAS
5001	30255	LRG_134	LRG_134
172628154	172636014	1	FASLG
5001	12829	LRG_58	LRG_58
80036214	80056208	17	FASN
150773711	150777953	7	FASTK
207630081	207657233	2	FASTKD2
7859272	7869150	5	FASTKD3
3127165	3140543	20	FASTKD5
187508937	187647876	4	FAT1
150883654	150948505	5	FAT2
92085262	92629618	11	FAT3
64888100	64889945	11	FAU
73905655	73937221	17	FBF1
40325098	40337054	19	FBL
45898118	45997015	22	FBLN1
13573824	13679922	3	FBLN2
97365415	97402531	9	FBP1
30669752	30682135	16	FBRS
133066137	133161774	12	FBRSL1
9920943	9938492	19	FBXL12
1675159	1703331	12	FBXL14
104178946	104182893	10	FBXL15
107194736	107717799	5	FBXL17
5470966	5553429	7	FBXL18
30934376	30960104	16	FBXL19
33318517	33445154	3	FBXL2
37415384	37558776	17	FBXL20
77566740	77601330	13	FBXL3
145410334	145414279	HG243_PATCH	FBXL6
145579091	145583036	8	FBXL6
67193834	67198473	16	FBXL8
37510889	37588871	9	FBXO10
28205804	28347835	8	FBXO16
5931535	5979556	10	FBXO18
117581146	117628336	12	FBXO21
356428	421225	8	FBXO25
224301789	224349749	1	FBXO28
33762485	33796089	11	FBXO3
87360593	87425748	16	FBXO31
39866873	39901704	14	FBXO33
55738021	55828636	14	FBXO34
16573334	16678949	1	FBXO42
196295482	196315930	3	FBXO45
68686551	68694390	2	FBXO48
32870663	32894818	22	FBXO7
175157809	175205415	4	FBXO8
52916789	52965671	6	FBXO9
123514256	123555690	9	FBXW2
103370423	103455052	10	FBXW4
139834887	139839148	9	FBXW5
159259504	159278014	1	FCER1A
161185024	161190489	1	FCER1G
75179847	75203394	14	FCF1
149754227	149764074	1	FCGR1A
150469086	150478933	HG1287_PATCH	FCGR1A
4963	14787	LRG_59	LRG_59
120926979	120935937	1	FCGR1B
121629975	121638933	HG1292_PATCH	FCGR1B
161475220	161493803	1	FCGR2A
161551101	161648444	1	FCGR2B
50010073	50029590	19	FCGRT
72251808	72386349	5	FCHO2
11653082	11696818	8	FDFT1
110300607	110335605	11	FDX1
10416103	10426691	19	FDX1L
111744780	111751967	11	FDXACB1
111744779	111751966	HG388_HG400_PATCH	FDXACB1
55215515	55254004	18	FECH
114856608	114880591	5	FEM1C
61560109	61564716	11	FEN1
108083523	108532542	5	FER
53323986	53419153	14	FERMT2
63974150	63991354	11	FERMT3
5001	22212	LRG_180	LRG_180
91426925	91439006	15	FES
125315646	125366213	11	FEZ1
36778570	36873230	2	FEZ2
95326422	95364237	10	FFAR4
54471887	54522599	X	FGD1
95709733	95798518	9	FGD3
95470525	95611258	12	FGD6
141971743	142077617	5	FGF1
102372134	103054124	13	FGF14
49715293	49780972	15	FGF7
38268656	38326352	8	FGFR1
167412670	167466201	6	FGFR1OP
27091316	27119583	12	FGFR1OP2
1795034	1810599	4	FGFR3
1003724	1020685	4	FGFRL1
241660903	241683061	1	FH
4970	27198	LRG_504	LRG_504
67263290	67281561	16	FHOD1
27015628	27018630	11	FIBIN
65651212	65656010	11	FIBP
110012499	110146631	6	FIG4
5001	139211	LRG_241	LRG_241
15363713	15402498	X	FIGF
50511831	50518088	7	FIGNL1
99548985	99833357	3	FILIP1L
54243810	55161439	4	FIP1L1
100882739	100895597	7	FIS1
24600484	24602058	14	FITM1
56102746	56113336	19	FIZ1
35639735	35642419	11	FJX1
39968962	39979465	HG185_PATCH	FKBP10
39968932	39979465	17	FKBP10
5001	15508	LRG_12	LRG_12
49315301	49320257	12	FKBP11
115923286	115983641	9	FKBP15
1349622	1373806	20	FKBP1A
64008475	64011604	11	FKBP2
2904119	2914576	12	FKBP4
179328391	179343327	2	FKBP7
18642561	18654887	19	FKBP8
32997017	33046543	7	FKBP9
32044940	32046524	HSCHR6_MHC_COX	FKBPL
32096484	32098068	6	FKBPL
32072259	32073843	HSCHR6_MHC_DBB	FKBPL
32172915	32174499	HSCHR6_MHC_MCF	FKBPL
17115526	17140502	17	FLCN
5001	29977	LRG_325	LRG_325
128556430	128683162	11	FLI1
18148150	18162230	17	FLII
57994127	58157982	3	FLNB
27206353	27224697	17	FLOT2
49977464	49989488	19	FLT3LG
180028506	180076624	5	FLT4
2933187	2949383	16	FLYWCH2
50031724	50101948	12	FMNL3
146993469	147032645	X	FMR1
146993666	147032842	HG1459_PATCH	FMR1
216225163	216300895	2	FN1
80693451	80709073	17	FN3K
80674559	80688204	17	FN3KRP
93913688	94020218	1	FNBP1L
47738072	47788995	11	FNBP4
171757418	172119455	3	FNDC3B
33327869	33338083	1	FNDC5
159690290	159829201	4	FNIP2
42889337	42940931	8	FNTA
65381203	65529368	14	FNTB
49168187	49230222	11	FOLH1
71900602	71907345	11	FOLR1
71927645	71932994	11	FOLR2
45971253	45978437	19	FOSB
65659520	65668044	11	FOSL1
28615315	28640179	2	FOSL2
38059189	38069245	14	FOXA1
47901689	47906363	1	FOXD2
47897805	47900313	1	FOXD2-AS1
145698795	145701718	8	FOXH1
169532901	169536727	5	FOXI1
8185299	8208099	12	FOXJ2
4683388	4811074	7	FOXK1
80477589	80602538	17	FOXK2
2966847	2986206	12	FOXM1
89591215	90085493	14	FOXN3
41129804	41240734	13	FOXO1
70316047	70323385	X	FOXO4
71003844	71633140	3	FOXP1
41514164	41570122	6	FOXP4
126138950	126148026	11	FOXRED1
30432103	30433420	20	FOXS1
130556876	130576606	9	FPGS
52298416	52329442	19	FPR3
99079022	99081672	10	FRAT1
99092255	99094458	10	FRAT2
14734664	14910993	9	FREM1
13685706	14504141	10	FRMD4A
37650997	37746901	9	FRMPD1
69864129	69973562	12	FRS2
41737914	41754280	6	FRS3
32605437	32870794	13	FRY
183698002	183731890	2	FRZB
127231463	127242198	7	FSCN3
52776239	52782964	5	FST
676392	683385	19	FSTL3
53737875	54155853	16	FTO
48334541	48344752	X	FTSJ1
48335552	48345763	HG1436_HG1432_PATCH	FTSJ1
2273866	2281840	7	FTSJ2
61896793	61907372	17	FTSJ3
24171567	24194784	1	FUCA1
31191431	31203127	16	FUS
33228342	33330940	8	FUT10
75532049	75540009	10	FUT11
94277017	94283063	11	FUT4
5865837	5903798	19	FUT5
65877310	66210839	14	FUT8
180585929	180700541	3	FXR1
7494548	7518189	17	FXR2
5001	28668	LRG_285	LRG_285
117671559	117699413	11	FXYD2
35606732	35615228	19	FXYD3
197464050	197514467	3	FYTTD1
28351729	28431775	8	FZD3
208627310	208634287	2	FZD5
35927177	35930362	10	FZD8
3506271	3538328	19	FZR1
209848765	209849733	1	G0S2
31028329	31089269	14	G2E3
151150606	151192346	5	G3BP1
76567966	76649709	4	G3BP2
42148103	42153709	17	G6PC3
5001	10615	LRG_182	LRG_182
153759606	153775787	X	G6PD
153699859	153716040	HG1497_PATCH	G6PD
5555	21182	LRG_148	LRG_148
144257915	144395721	4	GAB1
77926343	78129394	11	GAB2
153903529	153979858	X	GAB3
153843720	153920051	HG1497_PATCH	GAB3
7143333	7146089	17	GABARAP
29523310	29600897	HSCHR6_MHC_QBL	GABBR1
29523504	29601074	HSCHR6_MHC_APD	GABBR1
29523343	29600923	HSCHR6_MHC_DBB	GABBR1
29522994	29600557	HSCHR6_MHC_MANN	GABBR1
29523406	29601753	6	GABBR1
29523204	29600766	HSCHR6_MHC_MCF	GABBR1
29519995	29597568	HSCHR6_MHC_COX	GABBR1
27106881	27144771	21	GABPA
170190354	170241051	5	GABRP
68150744	68154021	1	GADD45A
2476120	2478257	19	GADD45B
92219928	92221470	9	GADD45G
13064972	13068050	19	GADD45GIP1
843064	926161	4	GAK
33161081	33291798	18	GALNT1
153570290	153800544	5	GALNT10
101569981	101612363	9	GALNT12
31133333	31378068	2	GALNT14
69725994	69821183	14	GALNT16
89913185	89920039	12	GALNT4
51745031	51786651	12	GALNT6
1397091	1401569	19	GAMT
62392298	62414104	11	GANAB
6643093	6647537	12	GAPDH
57787262	57792917	5	GAPT
128024073	128129486	9	GAPVD1
110736666	110745893	4	GAR1
129986544	130155939	9	GARNL3
30634297	30673649	7	GARS
5001	44469	LRG_243	LRG_243
34876238	34915797	21	GART
34880498	34925355	HSCHR21_4_CTG1_1	GART
22647188	22834601	11	GAS2
29702572	29708774	22	GAS2L1
34071530	34079897	17	GAS2L2
34071530	34079897	HG385_PATCH	GAS2L2
173833038	173838020	1	GAS5
9813926	10101868	17	GAS7
90086037	90111383	16	GAS8
8095567	8117161	10	GATA3
8092413	8095447	10	GATA3-AS1
92076767	92088150	7	GATAD1
19496635	19619740	19	GATAD2A
153777201	153895451	1	GATAD2B
153794432	153912682	HSCHR1_1_CTG31	GATAD2B
30681106	30685616	22	GATSL3
155219647	155229865	HSCHR1_2_CTG31	GBA
155204243	155214490	1	GBA
35736863	35749983	9	GBA2
155183616	155197214	1	GBAP1
81538850	81811312	3	GBE1
104005289	104142656	10	GBF1
89518002	89531043	1	GBP1
89873238	89891802	1	GBP1P1
89829617	89852020	1	GBP6
163175350	163228105	2	GCA
127220672	127233665	7	GCC1
13001840	13025021	19	GCDH
55308726	55369570	14	GCH1
41056218	41059906	15	GCHFR
120565007	120632513	12	GCN1L1
79034752	79122332	9	GCNT1
10492456	10629601	6	GCNT2
57884106	58006943	15	GCOM1
111839688	111852152	3	GCSAM
247670360	247740992	1	GCSAML
118406107	118472253	1	GDAP2
19513015	19533467	16	GDE1
48425815	48438976	10	GDF10
47795834	47808995	HG1211_PATCH	GDF10
153665266	153671814	X	GDI1
153605388	153611935	HG1497_PATCH	GDI1
5807186	5884095	10	GDI2
30116131	30125177	16	GDPD3
90777040	90785315	15	GDPGP1
647654	657239	17	GEMIN4
45582453	45594782	19	GEMIN7
14026398	14048012	X	GEMIN8
916189	936073	7	GET4
74017029	74063196	5	GFM2
179727690	179780387	5	GFPT2
38004481	38029571	22	GGA1
73232694	73258444	17	GGA3
30536237	30591095	7	GGCT
63927638	63951730	8	GGH
34900737	34946278	17	GGNBP2
34872292	34917807	HG75_PATCH	GGNBP2
235490665	235507847	1	GGPS1
22988780	22990368	22	GGTLC2
85899196	85913001	10	GHITM
17942606	17971718	17	GID4
61569471	61576996	20	GID8
100277130	100287071	7	GIGYF1
233562009	233725285	2	GIGYF2
150413645	150421372	7	GIMAP1
150264365	150271041	7	GIMAP4
150419341	150447121	7	GIMAP5
150322463	150329473	7	GIMAP6
150211918	150218161	7	GIMAP7
150147718	150176480	7	GIMAP8
149887430	149912884	6	GINM1
58328984	58440048	16	GINS3
41386725	41402565	8	GINS4
14588572	14606944	19	GIPC1
78445226	78604133	1	GIPC2
27900487	27921072	17	GIT1
110367607	110434194	12	GIT2
121756838	121770873	6	GJA1
42875816	42908184	17	GJC1
228337553	228347527	1	GJC2
99520892	99527243	7	GJC3
86354336	86444431	9	GKAP1
100652791	100662913	X	GLA
100652791	100662913	HG1439_PATCH	GLA
8008425	8133902	7	GLCCI1
69452923	69564556	15	GLCE
131266979	131304567	9	GLE1
144349603	144359101	8	GLI4
92711959	92764544	1	GLMN
660337	685581	17	GLOD4
131934663	131982785	10	GLRX3
52728505	52740048	3	GLT8D1
104382762	104457961	12	GLT8D2
42749765	42836298	6	GLTSCR1L
48248779	48260315	19	GLTSCR2
88810243	88854623	10	GLUD1
120181462	120183794	X	GLUD2
182350839	182361341	1	GLUL
52321105	52329272	3	GLYCTK
62218955	62258394	20	GMEB2
54941202	54955914	14	GMFB
24701628	24708448	14	GMPR2
155588325	155661815	3	GMPS
3094408	3124002	19	GNA11
50263724	50296787	3	GNAI2
50263724	50296787	HG325_PATCH	GNAI2
110091233	110136975	1	GNAI3
11688955	11885684	18	GNAL
1716729	1822495	1	GNB1
100271154	100276797	7	GNB2
6949118	6956557	12	GNB3
6949118	6956557	HG344_PATCH	GNB3
52413117	52483566	15	GNB5
114423615	114432526	9	GNG10
93551011	93557922	7	GNG11
52292913	52446060	14	GNG2
235710987	235814054	1	GNG4
84964008	84972248	1	GNG5
38032417	38061536	1	GNL2
52715172	52728508	3	GNL3
231376953	231413719	1	GNPAT
25276776	25282170	8	GNRH1
145509752	145516076	1	GNRHR2
65107225	65153227	12	GNS
127640646	127710771	9	GOLGA1
131018108	131038274	9	GOLGA2
133345495	133405444	12	GOLGA3
37284668	37408242	3	GOLGA4
93260576	93306308	14	GOLGA5
22736246	22746002	15	GOLGA6L1
82635130	82641706	15	GOLGA6L10
82722223	82731338	15	GOLGA6L9
41347915	41368499	8	GOLGA7
34671269	34880704	15	GOLGA8A
34817408	34880704	15	GOLGA8B
20767700	20781019	15	GOLGA8CP
23435096	23448420	15	GOLGA8EP
28764757	28778160	15	GOLGA8G
28776381	28789737	HSCHR15_1_CTG4	GOLGA8G
32124810	32174456	5	GOLPH3
21654715	21671342	12	GOLT1B
155719508	155829191	1	GON4L
117639374	117923691	6	GOPC
39138150	39149854	3	GORASP1
171784974	171823639	2	GORASP2
28804380	28854610	17	GOSR1
45000483	45105003	17	GOSR2
58741035	58768261	16	GOT2
145164762	145168388	HG104_HG975_PATCH	GPAA1
145137493	145141119	8	GPAA1
45563687	45607746	13	GPALPP1
31618946	31624007	HSCHR6_MHC_SSTO	GPANK1
31616421	31621476	HSCHR6_MHC_COX	GPANK1
31619246	31624306	HSCHR6_MHC_QBL	GPANK1
31611188	31616243	HSCHR6_MHC_DBB	GPANK1
31668499	31673553	HSCHR6_MHC_MANN	GPANK1
31705289	31710343	HSCHR6_MHC_MCF	GPANK1
31629006	31634060	6	GPANK1
37311594	37326387	2	GPATCH11
27216979	27226957	1	GPATCH3
156564279	156571288	1	GPATCH4
42472652	42580798	17	GPATCH8
56469775	56560506	5	GPBP1
157291802	157470247	2	GPD2
66974125	67648520	14	GPHN
34850385	34893061	19	GPI
144295068	144299044	8	GPIHBP1
48970334	48980151	X	GPKOW
48972795	48983200	HG1436_HG1432_PATCH	GPKOW
