Gene Start (bp)	Gene End (bp)	Chromosome Name	HGNC symbol
103062076	103092215	11	DCUN1D5
82035136	82037732	17	DCXR
17309518	17323301	19	DDA1
31727038	31730617	6	DDAH2
61299451	61342596	11	DDB1
38225218	38275558	8	DDHD2
15617500	15669044	1	DDI2
82899975	82958277	11	DDIAS
57516588	57520517	12	DDIT3
72273920	72276036	10	DDIT4
20651767	20661544	1	DDOST
162631373	162787400	1	DDR2
3190350	3204685	20	DDRGK1
23971365	23980469	22	DDT
23966901	23972532	22	DDTL
15591178	15631111	2	DDX1
108665025	108940930	11	DDX10
117814650	117832379	2	DDX18
70346829	70373383	16	DDX19A
70289663	70335283	16	DDX19B
111755245	111768016	1	DDX20
68956128	68985073	10	DDX21
48829764	48852842	12	DDX23
94048291	94081245	14	DDX24
135520659	135582510	X	DDX26B
49219295	49244077	20	DDX27
68021274	68023442	16	DDX28
132592997	132670401	9	DDX31
41333348	41364472	X	DDX3X
177511577	177517469	5	DDX41
63773603	63819317	17	DDX42
134758771	134855133	5	DDX46
12813316	12829981	12	DDX47
18919675	18928633	19	DDX49
64499616	64508199	17	DDX5
68901278	68946847	10	DDX50
37609739	37643464	17	DDX52
113157174	113185479	12	DDX54
123602077	123620941	12	DDX55
44565417	44575051	7	DDX56
118747766	118791149	11	DDX6
168216293	168318807	4	DDX60
168356735	168537786	4	DDX60L
644233	706715	11	DEAF1
90001405	90052092	8	DECR1
6870575	6878022	8	DEFB1
224175756	224193441	1	DEGS1
18223868	18264823	6	DEK
140518420	140673993	7	DENND2A
114582848	114670422	1	DENND2C
111187174	111204535	1	DENND2D
19230435	19373545	9	DENND4C
9138825	9265390	11	DENND5A
31382223	31591097	12	DENND5B
57625457	57693089	3	DENND6A
122752774	122771064	12	DENR
60596912	60700190	5	DEPDC1B
31753951	31907034	22	DEPDC5
119873717	120050913	8	DEPTOR
15911172	16037282	12	DERA
123013164	123042423	8	DERL1
5471251	5486811	17	DERL2
23834503	23839128	22	DERL3
244652935	244709033	1	DESI2
144314584	144326910	8	DGAT1
19130279	19144684	22	DGCR14
19036282	19122454	22	DGCR2
18906028	18914238	22	DGCR6
20314276	20320080	22	DGCR6L
20080232	20111877	22	DGCR8
14145049	14974777	7	DGKB
233354507	233472104	2	DGKD
56834099	56869567	17	DGKE
42040036	42256578	13	DGKH
137381037	137847092	7	DGKI
71428193	71452868	11	DHCR7
26432282	26471294	1	DHDDS
51767993	51804157	13	DHRS12
28897781	28903071	17	DHRS13
23953586	23969279	14	DHRS4
23969874	24006408	14	DHRS4L2
21123364	21193265	17	DHRS7B
12068972	12123225	10	DHTKD1
24517441	24584550	4	DHX15
30653119	30673037	6	DHX16
55256245	55307722	5	DHX29
47802909	47850195	3	DHX30
125836337	125896436	10	DHX32
5440912	5469060	17	DHX33
124946825	124989122	12	DHX37
72093562	72112912	16	DHX38
59565525	59608345	17	DHX40
43483865	43544463	17	DHX8
122207662	122227534	12	DIABLO
141515016	141619055	5	DIAPH1
62877738	62937952	20	DIDO1
209828007	209857565	1	DIEXF
46458899	46569852	21	DIP2A
50504985	50748667	12	DIP2B
274190	689668	10	DIP2C
72752169	72782096	13	DIS3
66293217	66333898	15	DIS3L
231961245	232344350	2	DIS3L2
154762742	154777689	X	DKC1
11963106	12009769	11	DKK3
49361783	49375116	19	DKKL1
112024814	112064390	11	DLAT
13083361	13604610	8	DLC1
107890970	107931730	7	DLD
77790791	77926526	10	DLG5
36306336	36528637	20	DLGAP4
55148112	55191678	14	DLGAP5
43450352	43456632	6	DLK2
40929340	40939072	15	DLL4
74881891	74903745	14	DLST
31097677	33339441	X	DMD
35497220	35513658	19	DMKN
1049858	1057552	9	DMRT2
72872025	72943814	X	DMRTC1
72777009	72848802	X	DMRTC1B
87152361	87196337	7	DMTF1
119037772	119249138	5	DMXL1
51447711	51622833	15	DMXL2
49625174	49635230	14	DNAAF2
726701	786475	7	DNAAF5
21543215	21901839	7	DNAH11
224896262	225399292	1	DNAH14
33025211	33039907	9	DNAJA1
46955362	46973788	16	DNAJA2
4425805	4456775	16	DNAJA3
78264086	78282196	15	DNAJA4
14514770	14529770	19	DNAJB1
72332830	72355230	10	DNAJB12
99896248	99946726	4	DNAJB14
219279267	219286900	2	DNAJB2
157335381	157417439	7	DNAJB6
40859549	40862126	22	DNAJB7
21756537	22003769	10	DNAJC1
182716041	182794464	2	DNAJC10
6634168	6701924	1	DNAJC11
132417526	132539032	3	DNAJC13
55820960	55830824	12	DNAJC14
40765155	40807478	15	DNAJC17
180983709	180989774	3	DNAJC19
103312474	103344873	7	DNAJC2
34929593	34958964	5	DNAJC21
31369840	31431849	11	DNAJC24
111631352	111654351	9	DNAJC25
111631386	111670229	9	DNAJC25-GNG10
33485530	33491720	21	DNAJC28
95677139	95794989	13	DNAJC3
64230278	64234286	11	DNAJC4
63895182	63936031	20	DNAJC5
41976433	42021376	17	DNAJC7
28199456	28233025	1	DNAJC8
73183362	73248862	10	DNAJC9
73644875	73703732	14	DNAL1
38778508	38794198	22	DNAL4
37556919	37566857	1	DNALI1
154401238	154412112	X	DNASE1L1
140670794	140673586	5	DND1
128203352	128255248	9	DNM1
32679200	32745650	12	DNM1L
10718079	10833488	19	DNM2
25227855	25342590	2	DNMT3A
45791937	45811427	20	DNTTIP1
93866283	93879918	1	DNTTIP2
142789	181636	17	DOC2B
224765090	225042445	2	DOCK10
118495898	118686163	X	DOCK11
25184723	25418082	8	DOCK5
214854	465259	9	DOCK8
3490821	3500940	19	DOHH
74549026	74557554	2	DOK1
128945530	128947619	9	DOLK
33559542	33588708	21	DONSON
83067666	83171350	6	DOPEY1
2164149	2232578	19	DOT1L
119096503	119108331	11	DPAGT1
101570560	101609668	10	DPCD
65333754	65353249	11	DPF2
2030110	2043430	17	DPH1
43970000	43973369	1	DPH2
16257978	16264972	3	DPH3
100989623	101026088	1	DPH5
137554904	137578935	9	DPH7
50934867	50958555	20	DPM1
127935099	127938484	9	DPM2
66480013	66509657	11	DPP3
161992241	162074542	2	DPP4
65442463	65517704	15	DPP8
94719703	94793836	8	DPY19L4
147390811	147510056	5	DPYSL3
93345888	93369498	1	DR1
111117333	111140216	1	DRAM2
65919257	65921561	11	DRAP1
31399523	31528740	22	DRG1
18087886	18107971	17	DRG2
31400497	31532196	5	DROSHA
31058840	31102415	18	DSC2
30990008	31042815	18	DSC3
37223420	37267919	21	DSCR3
116254173	116444860	6	DSE
31498043	31549008	18	DSG2
31447795	31478702	18	DSG3
7541575	7586717	6	DSP
17569863	17609919	20	DSTN
18567453	18763917	20	DTD1
31446036	31457510	14	DTD2
212035553	212107400	1	DTL
25377198	25673647	2	DTNB
118837322	118988545	5	DTWD2
113056709	113098028	12	DTX1
76461676	76505995	7	DTX2
76980949	77043775	7	DTX2P1-UPK3BP1-PMS2P11
122564238	122575203	3	DTX3L
241675742	241686991	2	DTYMK
45129933	45165576	15	DUOX1
45092650	45114344	15	DUOX2
45117367	45129938	15	DUOXA1
45114321	45118421	15	DUOXA2
82057506	82065887	17	DUS1L
67987746	68079320	16	DUS2
107563484	107578464	7	DUS4L
172768090	172771195	5	DUSP1
221701424	221742176	1	DUSP10
73762184	73780157	2	DUSP11
37489831	37513501	17	DUSP14
12474210	12562383	12	DUSP16
183078559	183100005	2	DUSP19
96143166	96145440	2	DUSP2
29333064	29350668	8	DUSP4
110497838	110511544	10	DUSP5
89347232	89353271	12	DUSP6
52048919	52056550	3	DUSP7
1554044	1571920	11	DUSP8
1335276	1349350	1	DVL1
7225341	7234545	17	DVL2
184155388	184173610	3	DVL3
49041474	49461347	18	DYM
101964528	102050792	14	DYNC1H1
32525971	32570874	3	DYNC1LI1
103109431	103479863	11	DYNC2H1
120469850	120498493	12	DYNLL1
58083415	58095536	17	DYNLL2
34516409	34540958	20	DYNLRB1
158636474	158644739	6	DYNLT1
37836757	37847637	X	DYNLT3
37365790	37517450	21	DYRK1A
39825350	39834201	19	DYRK1B
206635536	206684419	1	DYRK3
18383367	18467281	20	DZANK1
138061990	138115818	3	DZIP1L
108589682	108694846	3	DZIP3
20401906	20493715	6	E2F3
67192169	67198918	16	E2F4
2223566	2235742	16	E4F1
15427355	15450635	3	EAF1
34515929	34539711	14	EAPP
109539711	109565996	8	EBAG9
158695916	159099761	5	EBF1
4229498	4237531	19	EBI3
43164175	43270936	1	EBNA1BP2
48521158	48528716	X	EBP
49660723	49691475	13	EBPL
73130155	73169055	10	ECD
184249650	184293031	3	ECE2
127288710	127343609	6	ECHDC1
52895910	52927212	1	ECHDC2
133362480	133373689	10	ECHS1
2239395	2252300	16	ECI1
4115689	4135597	6	ECI2
150508062	150513789	1	ECM1
139448556	139462743	5	ECSCR
108894471	108989372	2	EDAR
236348262	236484914	1	EDARADD
74630558	74696292	15	EDC3
67873023	67884503	16	EDC4
136862119	136866286	9	EDF1
83940554	84384793	5	EDIL3
12290363	12297194	6	EDN1
41478775	41484673	1	EDN2
59300427	59325992	20	EDN3
147480917	147544954	4	EDNRA
125719515	125764143	10	EDRF1
86244544	86278813	11	EED
206159585	206162928	2	EEF1B2
143579697	143599541	8	EEF1D
8073360	8102578	6	EEF1E1
5084304	5097808	16	EEF2KMT
128153454	128408646	3	EEFSEC
36153149	36301543	7	EEPD1
48710789	48735311	8	EFCAB1
46675159	46719064	1	EFCAB14
62370218	62416476	17	EFCAB3
129001629	129040742	3	EFCC1
55865967	55924139	2	EFEMP1
65866441	65873592	11	EFEMP2
155127460	155134857	1	EFNA1
107376889	107670895	5	EFNA5
7705202	7711378	17	EFNB3
44849943	44899662	17	EFTUD2
136658856	136672678	9	EGFL7
55019021	55256620	7	EGFR
231363751	231425044	1	EGLN1
40798996	40808433	19	EGLN2
138465490	138469315	5	EGR1
62811996	62919900	10	EGR2
22687659	22693302	8	EGR3
62673851	63046487	2	EHBP1
65576038	65592650	11	EHBP1L1
47713343	47743134	19	EHD2
41895939	41972578	15	EHD4
34621093	34661057	11	EHF
137618963	137870016	9	EHMT1
31879759	31897687	6	EHMT2
125569216	125584687	11	EI24
48877886	48880183	15	EID1
39538250	39540230	19	EID2
65996545	66002176	11	EIF1AD
20124518	20141844	X	EIF1AX
150546678	150584242	3	EIF2A
6022244	6059230	7	EIF2AK1
37099210	37157065	2	EIF2AK2
123620406	123633766	12	EIF2B1
75002911	75012366	14	EIF2B2
184135038	184684758	3	EIF2B5
67359997	67386516	14	EIF2S1
34088298	34112332	20	EIF2S2
24054716	24077971	X	EIF2S3
119033670	119080823	10	EIF3A
2354086	2380745	7	EIF3B
28688558	28735730	16	EIF3C
28379579	28403879	16	EIF3CL
36510850	36529436	22	EIF3D
7970251	8001862	11	EIF3F
32221928	32231604	1	EIF3I
44537057	44563029	15	EIF3J
38619082	38636955	19	EIF3K
37848868	37889407	22	EIF3L
32583798	32606262	11	EIF3M
7572706	7579005	17	EIF4A1
80135214	80147183	17	EIF4A3
98871684	98930637	4	EIF4E
232550052	232583644	2	EIF4E2
71675416	71754773	3	EIF4E3
38030341	38060365	8	EIF4EBP1
70404379	70428618	10	EIF4EBP2
31436977	31496108	22	EIF4ENIF1
184314495	184335358	3	EIF4G1
10797050	10809110	11	EIF4G2
20806292	21176888	1	EIF4G3
74174245	74197101	7	EIF4H
103333544	103345025	14	EIF5
7306999	7312463	17	EIF5A
79512601	79516440	10	EIF5AL1
99337353	99401326	2	EIF5B
35278907	35284985	20	EIF6
12992391	13018187	17	ELAC2
40931920	41061440	13	ELF1
139028112	139177218	4	ELF2
202007945	202017188	1	ELF3
130064874	130110716	X	ELF4
34478793	34513805	11	ELF5
47635521	47650604	X	ELK1
205597556	205631962	1	ELK4
18442663	18522127	19	ELL
95885098	95962071	5	ELL2
43772600	43777543	15	ELL3
36854361	37449249	7	ELMO1
46366049	46432985	20	ELMO2
67199111	67204029	16	ELMO3
85354394	85391752	2	ELMOD3
74027789	74069907	7	ELN
11551147	11559236	19	ELOF1
53267398	53349179	6	ELOVL5
36129444	36180556	18	ELP2
28089673	28191156	8	ELP3
31509750	31783998	11	ELP4
7251416	7259940	17	ELP5
47495640	47513761	3	ELP6
50396192	50443248	5	EMB
121519112	121571892	1	EMBP1
108443601	108486918	8	EMC2
9962537	10011116	3	EMC3
34224999	34230156	15	EMC4
3668815	3669668	17	EMC6
34084017	34101948	15	EMC7
85771758	85799608	16	EMC8
100395341	100880126	4	EMCN
154379197	154381523	X	EMD
50373220	50381483	17	EME1
6970893	6979941	12	EMG1
2847030	2915993	18	EMILIN2
99737693	99942060	14	EML1
62602218	62612765	11	EML3
13196716	13219939	12	EMP1
48321509	48330553	19	EMP3
117542444	117549546	10	EMX2
117473215	117545068	10	EMX2OS
225486835	225653142	1	ENAH
95089810	95132645	11	ENDOD1
128818474	128822677	9	ENDOG
80415165	80438086	17	ENDOV
8861002	8879249	1	ENO1
4948092	4957131	17	ENO3
82430562	82461091	4	ENOPH1
670324	712676	18	ENOSF1
46129993	46146699	6	ENPP4
46159187	46170971	6	ENPP5
150600851	150629612	1	ENSA
81228277	81239091	17	ENTHD2
23385783	23457695	8	ENTPD4
25195693	25226729	20	ENTPD6
109334324	109345953	8	ENY2
68975214	69013961	3	EOGT
27715949	27722711	3	EOMES
41091786	41180079	22	EP300
131949920	132081102	12	EP400
36091504	36232799	20	EPB41L1
112142441	112419316	5	EPB41L4A
112419583	112420978	5	EPB41L4A-AS2
109171975	109320964	9	EPB41L4B
32267751	32378798	10	EPC1
148644440	148787568	2	EPC2
47345158	47387601	2	EPCAM
45847609	45967274	18	EPG5
143390289	143408892	7	EPHA1
221418027	221574202	2	EPHA4
134597801	135260467	3	EPHB1
27490779	27545564	8	EPHX2
15226919	15233435	19	EPHX3
92029982	92063536	1	EPHX4
145501583	145736024	6	EPM2A
36985043	36993168	3	EPM2AIP1
55675226	55709858	19	EPN1
19215615	19336715	17	EPN2
50532543	50543750	17	EPN3
143857324	143878464	8	EPPK1
694438	727727	11	EPS8L2
42886388	42992271	13	EPSTI1
28854938	28861067	17	ERAL1
39687914	39730426	17	ERBB2
65926475	66082549	5	ERBB2IP
56079857	56103505	12	ERBB3
102844844	102876001	13	ERCC5
49455368	49539538	10	ERCC6
60873831	60945073	5	ERCC8
42247572	42255157	19	ERF
38380027	38661780	21	ERG
35542021	35557634	20	ERGIC3
69380123	69398627	14	ERH
9002147	9116746	8	ERI1
44221070	44355260	1	ERI3
614746	738106	8	ERICH1
100150094	100188334	10	ERLIN1
37736599	37759101	8	ERLIN2
169751622	169781584	6	ERMARD
5765076	5833117	9	ERMP1
112013316	112023451	12	ERP29
99979179	100099040	9	ERP44
8004404	8026308	1	ERRFI1
11102489	11111732	6	ERVFRD-1
124752583	124762290	11	ESAM
21529281	21600884	18	ESCO1
27771949	27812640	8	ESCO2
46771256	46797232	13	ESD
13714322	13784886	20	ESF1
53268299	53293643	12	ESPL1
6424788	6461370	1	ESPN
54632122	54639857	3	ESRG
94641074	94707466	8	ESRP1
64305572	64316743	11	ESRRA
104250038	104254933	X	ESX1
158730995	158830253	7	ESYT2
67397319	67410545	2	ETAA1
138506095	138543300	5	ETF1
76215355	76311472	15	ETFA
51345169	51366418	19	ETFB
158672125	158709623	4	ETFDH
43506719	43527244	19	ETHE1
22625075	22690665	12	ETNK1
128458761	128587558	11	ETS1
38805307	38824955	21	ETS2
11649854	11895402	12	ETV6
36322031	36324154	1	EVA1B
32412006	32515397	21	EVA1C
5711197	5814305	4	EVC
5542772	5709548	4	EVC2
7830233	7864976	19	EVI5L
69072926	69095820	15	EWSAT1
69191511	69244020	14	EXD2
137306896	137423262	9	EXD3
55853616	55905034	4	EXOC1
485133	693111	6	EXOC2
443158	471937	5	EXOC3
57200507	57269008	14	EXOC5
92834713	93059493	10	EXOC6
76081017	76121576	17	EXOC7
231332753	231337852	1	EXOC8
97436142	97446017	10	EXOSC1
11066618	11099881	1	EXOSC10
37766978	37801437	9	EXOSC3
144078626	144080647	8	EXOSC4
44975241	45036066	3	EXOSC7
36998816	37009613	13	EXOSC8
121801317	121817021	4	EXOSC9
100872372	100895998	1	EXTL2
28600469	28755599	8	EXTL3
63719980	65707225	6	EYS
42700275	42745049	17	EZH1
158765741	158819412	6	EZR
113122814	113149529	13	F10
177402140	177409576	5	F12
76716043	76735781	5	F2R
76615482	76623434	5	F2RL2
16888860	16892606	19	F2RL3
94529225	94541800	1	F3
70203163	70207390	11	FADD
61873519	61892051	11	FADS3
50437028	50960263	1	FAF1
176447628	176510074	5	FAF2
80152490	80186946	15	FAH
95402721	95416616	2	FAHD2A
97083583	97094882	2	FAHD2B
127940579	127980513	9	FAM102A
108560089	108644900	1	FAM102B
82986207	82991057	15	FAM103A1
73207353	73236753	17	FAM104A
55143102	55161310	X	FAM104B
14518557	14774897	10	FAM107B
833715	857463	20	FAM110A
26159020	26163962	1	FAM110D
153990128	154038936	5	FAM114A2
49710332	49789180	17	FAM117A
202635188	202769757	2	FAM117B
126211414	126262986	11	FAM118B
170290703	170407065	6	FAM120B
134769566	134797232	X	FAM122B
134796789	134854610	X	FAM122C
224378698	224402085	2	FAM124B
22889371	23014130	7	FAM126A
200973718	201071671	2	FAM126B
135032366	135033546	X	FAM127A
135050932	135052196	X	FAM127B
135020504	135022529	X	FAM127C
184790724	184974550	1	FAM129A
184335926	184346275	3	FAM131A
92560793	92590394	7	FAM133B
219176225	219185479	2	FAM134A
42579513	42610623	17	FAM134C
137937960	138051961	5	FAM13B
59246129	59363181	10	FAM13C
73168166	73244504	10	FAM149B1
279558	288851	2	FAM150B
151409216	151663632	4	FAM160A1
6211335	6234711	11	FAM160A2
22089159	22104898	8	FAM160B2
73931501	73950414	14	FAM161B
73400487	73598189	11	FAM168A
10226330	10249897	5	FAM173B
100535305	100586741	5	FAM174A
83459517	83523348	4	FAM175A
124801785	124836670	10	FAM175B
35044907	35113130	14	FAM177A1
96875882	96986592	2	FAM178B
44962208	45074431	14	FAM179B
47586693	47589194	11	FAM180B
82729941	82733864	11	FAM181B
26054655	26086917	20	FAM182A
25763466	25868225	20	FAM182B
102748971	102809225	7	FAM185A
15778170	15860520	10	FAM188A
57152466	57186116	16	FAM192A
2625261	2732565	4	FAM193A
636817	648474	16	FAM195A
81822361	81833302	17	FAM195B
158124474	158173318	4	FAM198B
104166620	104195902	X	FAM199X
99546308	99558536	7	FAM200A
118297930	118342328	10	FAM204A
44940010	44976989	21	FAM207A
56620133	56683237	3	FAM208A
68535113	68601389	17	FAM20A
13663347	13726663	18	FAM210A
49803254	49805030	3	FAM212A
80407829	80437115	10	FAM213A
2586491	2591469	1	FAM213B
52581317	52709817	15	FAM214A
35104112	35116341	9	FAM214B
59933764	59948680	20	FAM217B
74899987	74907121	15	FAM219B
50067888	50133506	10	FAM21A
45727200	45792961	10	FAM21C
6329409	6348981	7	FAM220A
28755978	28855232	17	FAM222B
113113073	113119928	9	FAM225A
113103338	113111500	9	FAM225B
122849078	122879641	10	FAM24B
16185380	16192046	19	FAM32A
87094161	87191468	10	FAM35A
46610474	46652025	10	FAM35BP
20552439	20555010	1	FAM43B
119104086	119137984	10	FAM45A
81491439	81752774	6	FAM46A
27005020	27012836	1	FAM46B
76251721	76311129	4	FAM47E-STBD1
154444126	154450654	X	FAM50A
3849386	3851317	6	FAM50B
124619292	124744269	10	FAM53B
138331935	138349729	5	FAM53C
150996086	151008375	1	FAM63A
58771192	58861900	15	FAM63B
6444415	6451469	17	FAM64A
50586108	50691528	20	FAM65C
92832737	92961522	1	FAM69A
67189393	67228550	14	FAM71D
206186179	206204414	1	FAM72A
121167646	121185539	1	FAM72B
145096000	145112696	1	FAM72D
77779624	77879539	1	FAM73A
95768942	95790409	11	FAM76B
131258076	131276547	9	FAM78A
54846771	54942022	6	FAM83B
48600810	48614854	19	FAM83E
39994949	40043529	22	FAM83F
18968789	19004804	17	FAM83G
143723933	143733801	8	FAM83H
12182096	12194133	8	FAM86B1
12425614	12436343	8	FAM86B2
71787510	71801236	11	FAM86C1
67791648	67805336	11	FAM86C2P
65572349	65574198	11	FAM89B
123768456	123815452	8	FAM91A1
93698561	93731527	8	FAM92A1
33583658	33599382	2	FAM98A
38454127	38487710	15	FAM98B
30903852	30943108	15	FAN1
10026414	10101930	3	FANCD2
35452361	35467103	6	FANCE
22622519	22626787	11	FANCF
35073835	35080016	9	FANCG
89243949	89317261	15	FANCI
58159243	58241372	2	FANCL
125896539	126009592	10	FANK1
162170684	162245151	2	FAP
5261044	5771580	6	FARS2
12922479	12934037	19	FARSA
222570536	222656337	2	FARSB
88990531	89015785	10	FAS
172659018	172666874	1	FASLG
82078333	82098332	17	FASN
151076593	151080866	7	FASTK
206765357	206792509	2	FASTKD2
7859159	7869037	5	FASTKD3
3146519	3159897	20	FASTKD5
186587783	186726722	4	FAT1
151504093	151568944	5	FAT2
92352096	92896470	11	FAT3
65120628	65122473	11	FAU
75910723	75938149	17	FBF1
75909574	75941140	17	FBF1
39834458	39846414	19	FBL
45502238	45601135	22	FBLN1
13549131	13638422	3	FBLN2
94603133	94640249	9	FBP1
30658431	30670814	16	FBRS
132489551	132585188	12	FBRSL1
9810267	9827816	19	FBXL12
1565993	1594165	12	FBXL14
102419189	102423136	10	FBXL15
107859035	108382098	5	FBXL17
5431335	5513798	7	FBXL18
30923055	30948783	16	FBXL19
33277025	33403662	3	FBXL2
39252644	39402523	17	FBXL20
76992598	77027195	13	FBXL3
144355431	144359376	8	FBXL6
67159931	67164570	16	FBXL8
37510892	37576349	9	FBXO10
28348287	28490318	8	FBXO16
5890203	5937594	10	FBXO18
117141988	117190531	12	FBXO21
406428	477967	8	FBXO25
224114087	224162047	1	FBXO28
33740939	33774543	11	FBXO3
87326987	87392142	16	FBXO31
39397669	39432500	14	FBXO33
55271303	55361918	14	FBXO34
16246839	16352454	1	FBXO42
196568611	196589059	3	FBXO45
68459419	68467258	2	FBXO48
32474676	32498829	22	FBXO7
174236658	174284264	4	FBXO8
53051991	53100873	6	FBXO9
120751978	120793412	9	FBXW2
101610664	101695295	10	FBXW4
136940435	136944696	9	FBXW5
159289714	159308224	1	FCER1A
161215234	161220699	1	FCER1G
74713144	74738620	14	FCF1
149782671	149792518	1	FCGR1A
121087345	121096310	1	FCGR1B
161505430	161524013	1	FCGR2A
161663147	161678654	1	FCGR2B
49506816	49526333	19	FCGRT
72955981	73090522	5	FCHO2
11795573	11839309	8	FDFT1
110429883	110464881	11	FDX1
10310045	10316015	19	FDX1L
111874056	111881243	11	FDXACB1
57548283	57586772	18	FECH
115520908	115544894	5	FEM1C
61792637	61797244	11	FEN1
108747822	109196841	5	FER
52857268	52952435	14	FERMT2
64206678	64223886	11	FERMT3
90883695	90895776	15	FES
125445745	125496317	11	FEZ1
36531805	36646087	2	FEZ2
93566665	93604480	10	FFAR4
54445454	54496166	X	FGD1
92947451	93036236	9	FGD3
95076749	95217482	12	FGD6
142592178	142698070	5	FGF1
101710804	102402457	13	FGF14
49423096	49488775	15	FGF7
38411138	38468834	8	FGFR1
166999182	167052713	6	FGFR1OP
26938383	26966650	12	FGFR1OP2
1793307	1808872	4	FGFR3
1009936	1026897	4	FGFRL1
241497603	241519761	1	FH
67229387	67247658	16	FHOD1
26994184	26996121	11	FIBIN
65883741	65888539	11	FIBP
109691312	109825428	6	FIG4
15345591	15384376	X	FIGF
50444128	50542535	7	FIGNL1
99830141	100114513	3	FILIP1L
53377643	53460861	4	FIP1L1
101239458	101252316	7	FIS1
24131275	24132849	14	FITM1
55591371	55601970	19	FIZ1
35618419	35620868	11	FJX1
41812680	41823217	17	FKBP10
48921518	48926474	12	FKBP11
113161006	113221361	9	FKBP15
1368978	1393172	20	FKBP1A
64241003	64244132	11	FKBP2
2794953	2805423	12	FKBP4
178463664	178478600	2	FKBP7
18531751	18544077	19	FKBP8
32957404	33006931	7	FKBP9
55681074	55713252	7	FKBP9P1
32128707	32130291	6	FKBPL
17212212	17237188	17	FLCN
128686535	128813267	11	FLI1
18244836	18258916	17	FLII
58008400	58172251	3	FLNB
28879335	28897679	17	FLOT2
49474207	49486231	19	FLT3LG
180601506	180649624	5	FLT4
2883186	2899382	16	FLYWCH2
49636499	49708165	12	FMNL3
147911951	147951125	X	FMR1
215360440	215436172	2	FN1
82735575	82751197	17	FN3K
82716683	82730328	17	FN3KRP
93448131	93554661	1	FNBP1L
47716517	47767443	11	FNBP4
172039628	172401665	3	FNDC3B
32862268	32872482	1	FNDC5
158769138	158908049	4	FNIP2
43034194	43085788	8	FNTA
64986720	65062652	14	FNTB
49146635	49208670	11	FOLH1
72189558	72196301	11	FOLR1
72216601	72221950	11	FOLR2
45467995	45475179	19	FOSB
65892049	65900573	11	FOSL1
28392448	28417312	2	FOSL2
37589984	37596059	14	FOXA1
47436017	47440691	1	FOXD2
47432133	47434641	1	FOXD2-AS1
144473412	144476335	8	FOXH1
170105897	170109725	5	FOXI1
8032703	8055503	12	FOXJ2
4682309	4771443	7	FOXK1
82519713	82644662	17	FOXK2
2857681	2877155	12	FOXM1
89124871	89619149	14	FOXN3
40555667	40666597	13	FOXO1
71096197	71103535	X	FOXO4
70954693	71583989	3	FOXP1
41546426	41602384	6	FOXP4
126269055	126278131	11	FOXRED1
31844301	31845619	20	FOXS1
127794597	127814327	9	FPGS
51795163	51826189	19	FPR3
97319267	97321915	10	FRAT1
97332497	97334709	10	FRAT2
14734666	14910995	9	FREM1
13643706	14462142	10	FRMD4A
37651000	37746904	9	FRMPD1
69470349	69579789	12	FRS2
41770176	41786542	6	FRS3
32031300	32299122	13	FRY
182833275	182867162	2	FRZB
127591409	127602144	7	FSCN3
53480409	53487134	5	FST
676365	683399	19	FSTL3
53703963	54121941	16	FTO
48476021	48486364	X	FTSJ1
2234231	2242198	7	FTSJ2
63819433	63830012	17	FTSJ3
23845077	23868294	1	FUCA1
31180110	31194871	16	FUS
33370824	33473422	8	FUT10
73772291	73780251	10	FUT11
94543840	94549898	11	FUT4
5865826	5870540	19	FUT5
65410592	65744121	14	FUT8
180868141	180982753	3	FXR1
7591230	7614871	17	FXR2
117800844	117828698	11	FXYD2
35115879	35124324	19	FXYD3
197737179	197787596	3	FYTTD1
28494205	28574268	8	FZD3
207762586	207769563	2	FZD5
35638249	35642278	10	FZD8
3506273	3538330	19	FZR1
209675420	209676388	1	G0S2
30559123	30620063	14	G2E3
151771045	151812785	5	G3BP1
75642782	75724525	4	G3BP2
44070735	44076344	17	G6PC3
154531391	154547572	X	G6PD
143336762	143474568	4	GAB1
78215297	78418348	11	GAB2
154675249	154751583	X	GAB3
7240014	7242770	17	GABARAP
29555629	29633976	6	GABBR1
25734570	25772460	21	GABPA
170763350	170814047	5	GABRP
67685061	67688338	1	GADD45A
2476122	2478259	19	GADD45B
89605013	89606555	9	GADD45G
12953119	12957236	19	GADD45GIP1
849276	932373	4	GAK
35581117	35711834	18	GALNT1
154190730	154420984	5	GALNT10
98807699	98850081	9	GALNT12
30910467	31155202	2	GALNT14
69259277	69357033	14	GALNT16
89519408	89524806	12	GALNT4
51351247	51392867	12	GALNT6
1397084	1401570	19	GAMT
62624826	62646726	11	GANAB
6533927	6538374	12	GAPDH
58491435	58497090	5	GAPT
125261794	125367207	9	GAPVD1
109815510	109824740	4	GAR1
127224265	127393660	9	GARNL3
30594681	30634033	7	GARS
33503931	33543491	21	GART
22625642	22813055	11	GAS2
29306582	29312785	22	GAS2L1
35744511	35752878	17	GAS2L2
173863900	173868882	1	GAS5
9910609	10198551	17	GAS7
90019629	90044975	16	GAS8
8053604	8075198	10	GATA3
8050450	8053484	10	GATA3-AS1
92447453	92458836	7	GATAD1
19385826	19508931	19	GATAD2A
153804725	153922975	1	GATAD2B
151670504	151761023	4	GATB
30285117	30289627	22	GATSL3
155234452	155244699	1	GBA
35736866	35749228	9	GBA2
155213821	155227422	1	GBAP1
